additionalInfos - nr,additionalInfos - namn,additionalInfos - namn2,additionalInfos - modul,additionalInfos - argang,additionalInfos - slutlev,additionalInfos - koscher,additionalInfos - volymiml,additionalInfos - ursprung,additionalInfos - producent,additionalInfos - saljstart,additionalInfos - artikelid,additionalInfos - sortiment,additionalInfos - varnummer,additionalInfos - varugrupp,additionalInfos - ekologisk,additionalInfos - leverantor,additionalInfos - alkoholhalt,additionalInfos - forpackning,additionalInfos - forslutning,additionalInfos - provadargang,additionalInfos - prisinklmoms,additionalInfos - prisperliter,additionalInfos - ursprunglandnamn
157503,Anchor Steam Beer,,,, ,0,,,Anchor Brewing Company,2000-12-04,26775,FS,1575,"Öl, Specialöl",0,Cask Sweden AB,4.8%,Flaska,,,23.90,,USA
154903,Beck's,,,, ,0,,,InBev,1992-11-18,1147,FS,1549,"Öl, Ljus lager",0,Carlsberg Sverige AB,5%,Flaska,,,14.90,,Tyskland
141001,Bedarö Bitter,,,, ,0,,"Stockholms län, Nynäshamns kommun",Nynäshamns Ångbryggeri AB,2006-12-20,240643,FS,1410,"Öl, Ale",0,Nynäshamns Ångbryggeri AB,4.5%,Flaska,,,28.60,,Sverige
197702,BEO,Apple Green Tea,,, ,0,,,Carlsberg Sverige AB,2012-06-01,644574,FSÖ,1977,"Alkoholfritt, Övrigt",0,Carlsberg Sverige AB,0.1%,Flaska,,,12.90,,Danmark
197302,BEO,Blood Orange Hibiscus,,, ,0,,,Carlsberg Sverige AB,2012-06-01,644621,FSÖ,1973,"Alkoholfritt, Övrigt",0,Carlsberg Sverige AB,0.2%,Flaska,,,12.90,,Danmark
156503,Bitburger,Premium,,, ,0,,,Bitburger Brauerei,1992-09-07,1167,FS,1565,"Öl, Ljus lager",0,Galatea Spirits AB,4.8%,Flaska,,,12.60,,Tyskland
604504,Black Tower,Rivaner,,2013, ,0,,Rheinhessen,Reh Kendermann,1996-04-01,9925,FS,6045,"Vitt vin, Druvigt & Blommigt",0,Hermansson & Co AB,8.5%,Flaska,Skruvkapsyl,2013,29.00,,Tyskland
693502,Blue Nun,,,2013, ,0,,Rheinhessen,Sichel Söhne,1995-05-08,8037,FS,6935,"Vitt vin, Druvigt & Blommigt",0,Spendrups Bryggeri AB,8.5%,Flaska,Skruvkapsyl,2013,38.00,,Tyskland
152901,Bombardier,,,, ,0,,England,Wells & Young's Brewing Compan,2008-10-01,338647,FS,1529,"Öl, Ale",0,TOMP Beer Wine & Spirits AB,5.2%,Flaska,,,20.90,,Storbritannien
150103,Brewdog,5 A.M. Saint,,, ,0,,,BrewDog,2014-03-01,805419,FS,1501,"Öl, Ale",0,Cask Sweden AB,5%,Flaska,,,20.10,,Storbritannien
1191303,BrewDog Dead Pony Club,,,, ,0,,,BrewDog,2013-12-02,776664,FS,11913,"Öl, Ale",0,Cask Sweden AB,3.8%,Burk,,,18.40,,Storbritannien
159103,Brewdog Hardcore IPA,,,, ,0,,Skottland,BrewDog,2011-05-30,584799,FS,1591,"Öl, Ale",0,Cask Sweden AB,9.2%,Flaska,,,28.90,,Storbritannien
151503,Brewdog Punk IPA,,,, ,0,,Skottland,BrewDog,2008-04-01,299605,FS,1515,"Öl, Ale",0,Cask Sweden AB,5.6%,Flaska,,,21.40,,Storbritannien
162003,BrewDog Rip Tide,,,, ,0,,Skottland,BrewDog,2011-10-01,585992,FS,1620,"Öl, Porter och Stout",0,Cask Sweden AB,8%,Flaska,,,27.90,,Storbritannien
1158103,BrewDog Trashy Blonde,,,, ,0,,Skottland,BrewDog,2010-03-24,428969,FS,11581,"Öl, Ale",1,Cask Sweden AB,4.1%,Flaska,,,19.90,,Storbritannien
277301,Briccotondo,Barbera,,2013, ,0,,Piemonte,Fontanafredda,2005-10-01,164943,FS,2773,"Rött vin, Fruktigt & Smakrikt",0,Enjoy Wine & Spirits AB,13.5%,Flaska,Skruvkapsyl,2013,79.00,,Italien
168803,Brooklyn,East India Pale Ale,,, ,0,,,Brooklyn Brewery,2010-10-01,488544,FS,1688,"Öl, Ale",0,Carlsberg Sverige AB,6.9%,Flaska,,,23.90,,USA
154803,Brooklyn Lager,,,, ,0,,,Brooklyn Brewery,2005-10-01,166018,FS,1548,"Öl, Ljus lager",0,Carlsberg Sverige AB,5.2%,Flaska,,,17.90,,USA
658102,Cameleon,Selection Malbec,,2014, ,0,,"Cuyo, Mendoza",Domaine Bousquet,2006-10-02,209122,FS,6581,"Rött vin, Fruktigt & Smakrikt",1,Vinia Sweden AB,14.5%,Flaska,Skruvkapsyl,2014,43.00,,Argentina
209702,Campos Góticos,Tempranillo,,2010, ,0,,Ribera del Duero,Campos Góticos,2011-04-01,548499,FS,2097,"Rött vin, Fruktigt & Smakrikt",1,Stellan Kramer AB,14.5%,Flaska,Naturkork,2010,49.00,,Spanien
207504,Casillero del Diablo,Chardonnay,,2013, ,0,,Valle Central,Concha y Toro,1999-10-04,20549,FS,2075,"Vitt vin, Friskt & Fruktigt",0,Concha y Toro Sweden AB,13.5%,Flaska,Skruvkapsyl,2013,29.00,,Chile
266201,Ch Malavieille Alliance,,,2012, ,0,,"Languedoc-Roussillon, Coteaux du Langued",Domaine de Malavieille,2013-12-02,779854,FS,2662,"Rött vin, Fruktigt & Smakrikt",1,People Wine AB,13.5%,Flaska,Naturkork,2012,119.00,,Frankrike
223301,Château Pech-Latt,,,2013, ,0,,"Languedoc-Roussillon, Corbières",Château Pech-Latt,2000-03-06,22525,FS,2233,"Rött vin, Fruktigt & Smakrikt",1,Sigva AB,13%,Flaska,Naturkork,2013,99.00,,Frankrike
669702,Chilcas,Sauvignon Blanc,,2013, ,0,,"Maule, Valle de Curicó",VIA Wine Group,2008-10-01,335527,FS,6697,"Vitt vin, Friskt & Fruktigt",1,The WineAgency Sweden AB,13%,Flaska,Skruvkapsyl,2013,46.00,,Chile
614601,Chill Out Mountains,Malbec,,2013, ,0,,"Cuyo, San Juan",Altia,2011-10-01,583258,FS,6146,"Rött vin, Fruktigt & Smakrikt",1,Altia Sweden AB,13%,PET-flaska,Skruvkapsyl,2013,69.00,,Argentina
165103,Chimay blå,,,2013, ,0,,,Chimay,1995-01-30,7126,FS,1651,"Öl, Ale",0,TOMP Beer Wine & Spirits AB,9%,Flaska,,2013,29.90,,Belgien
180202,Cidraie Pear,,,, ,0,,,CSR SA,2014-03-01,801152,FS,1802,"Cider, Torr och halvtorr",0,Pernod Ricard Sweden AB,4%,Flaska,,,20.00,,Frankrike
155103,Citra Pale Ale,,,, ,0,,,Brouwerij De Molen,2014-03-01,805400,FS,1551,"Öl, Ale",0,Galatea Spirits AB,4.8%,Flaska,,,20.90,,Nederländerna
1127103,Coopers Best,Extra Stout,,, ,0,,,Coopers Brewery,2008-04-01,302944,FS,11271,"Öl, Porter och Stout",0,Galatea Spirits AB,6.3%,Flaska,,,19.90,,Australien
721801,Dr L,Riesling,,2013, ,0,,Mosel,Dr Loosen,2006-10-02,216549,FS,7218,"Vitt vin, Friskt & Fruktigt",0,Vinunic AB,10.5%,Flaska,Skruvkapsyl,2013,81.00,,Tyskland
165403,Duvel,,,, ,0,,,Duvel Moortgat,1995-01-30,7129,FS,1654,"Öl, Ale",0,Galatea Spirits AB,8.5%,Flaska,,,25.50,,Belgien
651201,Ecologica,Shiraz Malbec,,2013, ,0,,"Cuyo, La Rioja, Valles del Famatina",La Riojana,2004-12-06,50513,FS,6512,"Rött vin, Fruktigt & Smakrikt",1,Giertz Vinimport AB,13%,Flaska,Skruvkapsyl,2013,69.00,,Argentina
191402,Einbecker Brauherren Alkoholfrei,,,, ,0,,,Einbecker Brauhaus,2014-09-01,864046,FSÖ,1914,"Alkoholfritt, Öl",0,AB Wicked Wine Sweden,0.5%,Flaska,,,9.90,,Tyskland
601202,El Cortejo,Sauvignon Blanc,,2013, ,0,,"Cuyo, Mendoza",Nordic Sea Winery,2006-10-02,209933,FS,6012,"Vitt vin, Friskt & Fruktigt",0,Oenoforos AB,13.5%,Flaska,Skruvkapsyl,2013,34.00,,Argentina
278002,El Coto,Blanco,,2013, ,0,,Rioja,Bodegas El Coto,1997-09-01,14025,FS,2780,"Vitt vin, Friskt & Fruktigt",0,Spendrups Bryggeri AB,11.5%,Flaska,,2013,37.00,,Spanien
8953903,Electric Nurse,Imperial Stout,,, ,0,,"Uppsala län, Uppsala kommun",Gamla Slottskällans Bryggeri,2014-04-01,839319,TSLS,89539,"Öl, Porter och Stout",0,Brewtrade Sweden AB,8.5%,Flaska,,,34.90,,Sverige
1120801,Erdinger,Weissbier Hefe,,, ,0,,,Erdinger,1997-02-03,12343,FS,11208,"Öl, Veteöl",0,Carlsberg Sverige AB,5.3%,Flaska,,,21.90,,Tyskland
196303,Fentimans,Ginger Beer,,, ,0,,,Fentimans,2012-04-02,621936,FSÖ,1963,"Alkoholfritt, Övrigt",0,Bonasitis AB,0.5%,Flaska,Skruvkapsyl,,22.50,,Storbritannien
1163903,Flying Dog,Dogtoberfest Märzen,T2,, ,0,,,Flying Dog Brewery,2012-09-01,663725,TSE,11639,"Öl, Mörk lager",0,AB Wicked Wine Sweden,5.6%,Flaska,,,25.90,,USA
168303,Flying Dog,Gonzo Imperial Porter,,, ,0,,,Flying Dog Brewery,2011-04-01,548929,FS,1683,"Öl, Porter och Stout",0,AB Wicked Wine Sweden,9.2%,Flaska,,,29.90,,USA
168701,Franziskaner,Hefe-Weissbier,,, ,0,,,Spaten-Franziskaner-Bräu,1994-05-09,1213,FS,1687,"Öl, Veteöl",0,Carlsberg Sverige AB,5%,Flaska,,,21.90,,Tyskland
8968701,Freedom IPA,,,, ,0,,"Uppsala län, Uppsala kommun",Gamla Slottskällans Bryggeri,2012-02-01,642257,TSLS,89687,"Öl, Ale",0,Gamla Slottskällans Bryggeri ,6.5%,Flaska,,,27.40,,Sverige
1140501,Fuller's ESB,,,, ,0,,England,Fuller Smith & Turner,1999-10-04,20079,FS,11405,"Öl, Ale",0,Arvid Nordquist Vin och Sprith,5.9%,Flaska,,,25.90,,Storbritannien
1148901,Gambrinus,,,, ,0,,,Pilsner Urquell,2001-02-05,27241,FS,11489,"Öl, Ljus lager",0,SAB Miller Brands Europe AS Tj,5%,Flaska,,,16.50,,Tjeckien
156103,Guinness,Extra Stout,,, ,0,,,Guinness,1970-01-01,1163,FS,1561,"Öl, Porter och Stout",0,Carlsberg Sverige AB,5%,Flaska,,,17.90,,Irland
1146001,Hell,,,, ,0,,"Jämtlands län, Bräcke kommun",Jämtlands Bryggeri AB,2000-04-03,22695,BS,11460,"Öl, Ljus lager",0,Jämtlands Bryggeri AB,5.1%,Flaska,,,25.90,,Sverige
156303,Hoegaarden,Wit-Blanche,,, ,1,,,InBev,2002-05-06,34564,FS,1563,"Öl, Veteöl",0,Carlsberg Sverige AB,4.9%,Flaska,,,17.40,,Belgien
1129801,Hofbräu München Oktoberfest,,,, ,0,,,Staatliches Hofbräuhaus in M�,2014-09-01,844230,TSS,11298,"Öl, Ljus lager",0,Galatea Spirits AB,6.3%,Flaska,,,19.90,,Tyskland
1210502,Hubert Beck,Réserve du Chevalier Pinot Gris,,2012, ,0,,Alsace,Hubert Beck,2012-04-02,643373,FS,12105,"Vitt vin, Torrt, Druvigt & Blo",0,Swedish Wine Cellar AB,12.5%,Flaska,Naturkork,2012,49.00,,Frankrike
232202,il Conte,Montepulciano d'Abruzzo,,2013, ,0,,"Abruzzerna, Montepulciano d'Abruzzo",Nordic Sea Winery,2007-04-02,251570,FS,2322,"Rött vin, Mjukt & Bärigt",1,Oenoforos AB,13.5%,Flaska,Plastkork/syntetkork,2013,38.00,,Italien
2280301,il Nostro,Grecanico,,2013, ,0,,Sicilien,Nordic Sea Winery,2004-04-05,47166,FS,22803,"Vitt vin, Friskt & Fruktigt",1,Oenoforos AB,12%,Flaska,Skruvkapsyl,2013,57.00,,Italien
1144703,Innis & Gunn,Oak Aged Beer,,, ,0,,Skottland,Innis & Gunn,2004-12-06,51064,FS,11447,"Öl, Ale",0,TOMP Beer Wine & Spirits AB,6.6%,Flaska,,,19.90,,Storbritannien
1159803,Innis & Gunn,Rum Finish Oak Aged Beer,,, ,0,,Skottland,Innis & Gunn,2010-10-01,506905,FS,11598,"Öl, Ale",0,TOMP Beer Wine & Spirits AB,6.8%,Flaska,,,19.90,,Storbritannien
150603,Jever Pilsener,,,, ,0,,,Friesisches Brauhaus,1998-03-01,15107,FS,1506,"Öl, Ljus lager",0,TOMP Beer Wine & Spirits AB,4.9%,Flaska,,,12.90,,Tyskland
150601,Jever Pilsener,,,, ,0,,,Friesisches Brauhaus,1997-04-02,12969,BS,1506,"Öl, Ljus lager",0,TOMP Beer Wine & Spirits AB,4.9%,Flaska,,,16.90,,Tyskland
151001,Karlovacko,,,, ,0,,,Karlovacka Pivovara,2005-12-28,194552,FS,1510,"Öl, Ljus lager",0,GL Brands AB,5%,Flaska,,,17.80,,Kroatien
8910403,Kasteel Triple,,,, ,0,,,Brouwerij Van Honsebrouck,2014-09-01,884202,BS,89104,"Öl, Ale",0,Skandinaviska Dryckeshuset AB,11%,Flaska,,,40.80,,Belgien
746902,Königsmosel,Riesling,,2013, ,0,,Mosel,Joseph Drathen,1995-03-01,7434,FS,7469,"Vitt vin, Druvigt & Blommigt",0,Prime Wine Sweden AB,8.5%,Flaska,Skruvkapsyl,2013,39.00,,Tyskland
150401,King Goblin,,,, ,0,,,Wychwood Brewery,2011-04-01,550999,FS,1504,"Öl, Ale",0,Galatea Spirits AB,6.6%,Flaska,,,26.90,,Storbritannien
187702,Kiviks Astrakan Fläderblom,Äppelcider Halvtorr,,, ,0,,"Skåne län, Simrishamns kommun",Kiviks Musteri AB,2004-09-06,49169,FS,1877,"Cider, Torr och halvtorr",0,Kiviks Musteri AB,4.5%,Flaska,,,19.90,,Sverige
181803,Kiviks Astrakan,Torr Cider,,, ,0,,"Skåne län, Simrishamns kommun",Kiviks Musteri AB,2013-03-28,726853,FS,1818,"Cider, Torr och halvtorr",0,Kiviks Musteri AB,7%,Flaska,,,19.90,,Sverige
183203,Kiviks Williams,Päroncider Halvtorr,,, ,0,,"Skåne län, Simrishamns kommun",Kiviks Musteri AB,2013-03-28,727151,FS,1832,"Cider, Torr och halvtorr",0,Kiviks Musteri AB,7%,Flaska,,,19.90,,Sverige
8967303,Kloster,,,2013, ,0,,"Uppsala län, Uppsala kommun",Gamla Slottskällans Bryggeri,2012-03-01,647818,BS,89673,"Öl, Ale",1,Gamla Slottskällans Bryggeri ,9%,Flaska,,,32.30,,Sverige
144612,Kung,,,, ,0,,"Kalmar län, Vimmerby kommun",Åbro Bryggeri,2011-10-28,508314,FS,1446,"Öl, Ljus lager",0,Åbro Bryggeri,5.2%,Burk,,,10.40,,Sverige
166403,Kwak,,,, ,0,,,Brouwerij Bosteels,2004-10-04,49835,BS,1664,"Öl, Ale",0,Galatea Spirits AB,8%,Flaska,,,23.90,,Belgien
159412,Lapin Kulta,,,, ,0,,,Scottish&Newcastle,2010-12-16,509160,FS,1594,"Öl, Ljus lager",0,Albani Sverige AB,5.2%,Burk,,,13.40,,Finland
165903,Leffe,Blonde,,, ,0,,,InBev,1995-04-24,7481,FS,1659,"Öl, Ale",0,Carlsberg Sverige AB,6.6%,Flaska,,,19.90,,Belgien
133603,Leffe,Brune,,, ,0,,,InBev,2002-04-02,33930,FS,1336,"Öl, Ale",0,Carlsberg Sverige AB,6.5%,Flaska,,,19.90,,Belgien
582201,Leitz Eins Zwei Dry,Riesling,,2013, ,0,,Rheingau,Josef Leitz,2012-03-12,650825,FS,5822,"Vitt vin, Druvigt & Blommigt",0,Johan Lidby Vinhandel AB,12%,Flaska,Skruvkapsyl,2013,99.00,,Tyskland
210602,Lindemans Bin 65,Chardonnay,,2013, ,0,,South Eastern Australia,Lindemans,1994-08-15,1433,FS,2106,"Vitt vin, Fylligt & Smakrikt",0,Treasury Wine Estates Sweden A,13.5%,Flaska,Skruvkapsyl,2013,45.00,,Australien
172303,Mahou Negra,,,, ,0,,,San Miguel,2011-10-01,586626,FS,1723,"Öl, Mörk lager",0,Brewery International Sweden A,5.5%,Flaska,,,14.90,,Spanien
195202,Mariestads,Alkoholfri,,, ,0,,"Dalarnas län, Ludvika kommun",Spendrups,2012-10-01,680562,FSÖ,1952,"Alkoholfritt, Öl",0,Spendrups Bryggeri AB,0.5%,Flaska,,,10.90,,Sverige
120301,Mariestads Export,,,, ,0,,"Dalarnas län, Ludvika kommun",Spendrups,1994-04-05,791,FS,1203,"Öl, Ljus lager",0,Spendrups Bryggeri AB,5.3%,Flaska,,,15.90,,Sverige
120003,Mariestads Export,,,, ,0,,"Dalarnas län, Ludvika kommun",Spendrups,2006-04-01,186120,FS,1200,"Öl, Ljus lager",0,Spendrups Bryggeri AB,5.3%,Flaska,,,13.90,,Sverige
137901,Mariestads Old Ox,,,, ,0,,"Dalarnas län, Ludvika kommun",Spendrups,1996-04-01,10538,FS,1379,"Öl, Ljus lager",0,Spendrups Bryggeri AB,6.9%,Flaska,,,17.50,,Sverige
8966103,Mikkeller,American Dream,,, ,0,,,Mikkeller,2012-04-02,655636,BS,89661,"Öl, Ljus lager",0,Brill & Co AB,4.6%,Flaska,,,24.20,,Internationellt märke
1199403,Mikkeller,Drink'in The Sun,,, ,0,,,Mikkeller,2014-06-02,830913,TSS,11994,"Alkoholfritt, Öl",0,Brill & Co AB,0.3%,Flaska,,,16.90,,Internationellt märke
